timestamp,open,high,low,close
1653177540,1973.73,undefined,undefined,undefined
1653091200,1956.7643723038905,1986.98,1936.26,1974.1499999999999
1653004800,2017.57,2055.6611937982034,1921.1900000000003,1959.3000000000002
1652918400,1912.0211657570683,2037.88,1901.52,2019.2142415664157
1652832000,2088.96,2105.6393069374376,1910.1675458150878,1910.1675458150878
1652745600,2020.6468019422357,2118,2010.767296034915,2089.4717554992912
1652659200,2142.69,2142.69,1983.2,2017.591974816357
1652572800,2054.0498603124593,2156.38263557957,2001.7878102470409,2143.3937025674654
1652486400,2006.5767017297878,2062.7489390114824,1949.1551372065408,2054.222697049186
1652400000,1954.3690593021345,2143.927880326978,1938.491390089164,2008.9013701074534
1652313600,2079.382456801796,2182.540433086965,1722.36926954477,1956.617867764764
1652227200,2340.5115318393246,2447.9925456998008,2000.645839662516,2064.3
1652140800,2228.4723704016005,2456.4307023795145,2202.948591899543,2342.8808479452578
1652054400,2519.4049346623556,2528.2900338748827,2227.008972041396,2234.5610485233133
1651968000,2634.805943015932,2639.904528328017,2492.000116172197,2520.266177690356
1651967940,2634.993923614711,undefined,undefined,undefined
1651881600,2692.1575592026848,2701.771948742392,2593.475452535282,2636.3604005838597
1651881540,2692.888759545762,undefined,undefined,undefined
1651795200,2745.485214511312,2756.775574585838,2634.596282716803,2693.092196465028
1651795140,2747.450612167677,undefined,undefined,undefined
1651708800,2940.26872357461,2951.6260541633083,2701.151454173864,2748.5504657049273
1651708740,2939.570848270164,undefined,undefined,undefined
1651622400,2780.5579870804145,2961.915013056008,2772.8599648913264,2940.3712164626613
1651622340,2780.080070697177,undefined,undefined,undefined
1651536000,2855.0381859242407,2861.4428851711928,2758.1429753329435,2781.695546962
1651535940,2856.2046991255265,undefined,undefined,undefined
1651449600,2825.2216036453506,2880.8638630502173,2782.654842089247,2857.283630461652
1651363200,2726.8007592228396,2846.298176921404,2726.594353531348,2823.892489713571
1651276800,2817.305516292124,2840.5615413243363,2722.756240478216,2726.695069962875
1651276740,2815.5018094040465,undefined,undefined,undefined
1651190400,2935.910511336029,2945.3724608030607,2777.7886288095615,2816.59302943815
1651104000,2883.687632153008,2977.677490628178,2856.365946711058,2939.3478045259562
1651103940,2889.4564248648267,undefined,undefined,undefined
1651017600,2809.5944621978883,2918.0228376227906,2796.3431587663185,2890.611646691343
1650931200,3007.286820610516,3031.6261084633775,2779.5574026837157,2810.756627076162
1650844800,2922.2345398565426,3022.6337628286865,2800.748564465307,3008.4964182984945
1650758400,2933.3683542556682,2964.793479460563,2915.702533658085,2923.4264911998753
1650672000,2963.1133096480853,2979.307621785165,2920.2232442719323,2937.770450117909
1650585600,2983.9999612212937,3031.200431759856,2935.511082428812,2963.7326486723086
1650499200,3075.1531494592973,3177.6796841691116,2954.4514227942473,2986.039819397175
1650499140,3079.5252051129937,undefined,undefined,undefined
1650412800,3098.656698364832,3162.602990824134,3039.8771548441155,3079.3565211537966
1650412740,3103.251351999453,undefined,undefined,undefined
1650326400,3056.220727294478,3128.08485858379,3032.9701396041755,3103.5487811546
1650240000,2988.6833159466632,3070.3639727972086,2890.3291231131343,3057.2204591928344
1650153600,3060.45498026737,3078.8687429301276,2986.4675609228225,2991.033393304836
1650067200,3040.192383930232,3078.4334523361526,3014.798637763354,3060.986070974377
1649980800,3021.84534831679,3050.0556781934065,2997.7173314744227,3042.554247326894
1649894400,3118.9863131843667,3143.955943315526,2983.7410161063426,3019.8051025293453
